Afghanistan,Asia,45.9
Albania,Europe,71.6
Algeria,Africa,69.7
American Samoa,Oceania,75.1
Andorra,Europe,83.5
Angola,Africa,38.3
Anguilla,North America,76.1
Antigua and Barbuda,North America,70.5
Argentina,South America,75.1
Armenia,Asia,66.4
Aruba,North America,78.4
Australia,Oceania,79.8
Austria,Europe,77.7
Azerbaijan,Asia,62.9
Bahamas,North America,71.1
Bahrain,Asia,73
Bangladesh,Asia,60.2
Barbados,North America,73
Belarus,Europe,68
Belgium,Europe,77.8
Belize,North America,70.9
Benin,Africa,50.2
Bermuda,North America,76.9
Bhutan,Asia,52.4
Bolivia,South America,63.7
Bosnia and Herzegovina,Europe,71.5
Botswana,Africa,39.3
Brazil,South America,62.9
Brunei,Asia,73.6
Bulgaria,Europe,70.9
Burkina Faso,Africa,46.7
Burundi,Africa,46.2
Cambodia,Asia,56.5
Cameroon,Africa,54.8
Canada,North America,79.4
Cape Verde,Africa,68.9
Cayman Islands,North America,78.9
Central African Republic,Africa,44
Chad,Africa,50.5
Chile,South America,75.7
China,Asia,71.4
Colombia,South America,70.3
Comoros,Africa,60
Congo,Africa,47.4
Congo; The Democratic Republic of the,Africa,48.8
Cook Islands,Oceania,71.1
Costa Rica,North America,75.8
Cote d-Ivoire,Africa,45.2
Croatia,Europe,73.7
Cuba,North America,76.2
Cyprus,Asia,76.7
Czech Republic,Europe,74.5
Denmark,Europe,76.5
Djibouti,Africa,50.8
Dominica,North America,73.4
Dominican Republic,North America,73.2
East Timor,Asia,46
Ecuador,South America,71.1
Egypt,Africa,63.3
El Salvador,North America,69.7
Equatorial Guinea,Africa,53.6
Eritrea,Africa,55.8
Estonia,Europe,69.5
Ethiopia,Africa,45.2
Faroe Islands,Europe,78.4
Fiji Islands,Oceania,67.9
Finland,Europe,77.4
France,Europe,78.8
French Guiana,South America,76.1
French Polynesia,Oceania,74.8
Gabon,Africa,50.1
Gambia,Africa,53.2
Georgia,Asia,64.5
Germany,Europe,77.4
Ghana,Africa,57.4
Gibraltar,Europe,79
Greece,Europe,78.4
Greenland,North America,68.1
Grenada,North America,64.5
Guadeloupe,North America,77
Guam,Oceania,77.8
Guatemala,North America,66.2
Guinea,Africa,45.6
Guinea-Bissau,Africa,49
Guyana,South America,64
Haiti,North America,49.2
Honduras,North America,69.9
Hong Kong,Asia,79.5
Hungary,Europe,71.4
Iceland,Europe,79.4
India,Asia,62.5
Indonesia,Asia,68
Iran,Asia,69.7
Iraq,Asia,66.5
Ireland,Europe,76.8
Israel,Asia,78.6
Italy,Europe,79
Jamaica,North America,75.2
Japan,Asia,80.7
Jordan,Asia,77.4
Kazakstan,Asia,63.2
Kenya,Africa,48
Kiribati,Oceania,59.8
Kuwait,Asia,76.1
Kyrgyzstan,Asia,63.4
Laos,Asia,53.1
Latvia,Europe,68.4
Lebanon,Asia,71.3
Lesotho,Africa,50.8
Liberia,Africa,51
Libyan Arab Jamahiriya,Africa,75.5
Liechtenstein,Europe,78.8
Lithuania,Europe,69.1
Luxembourg,Europe,77.1
Macao,Asia,81.6
Macedonia,Europe,73.8
Madagascar,Africa,55
Malawi,Africa,37.6
Malaysia,Asia,70.8
Maldives,Asia,62.2
Mali,Africa,46.7
Malta,Europe,77.9
Marshall Islands,Oceania,65.5
Martinique,North America,78.3
Mauritania,Africa,50.8
Mauritius,Africa,71
Mayotte,Africa,59.5
Mexico,North America,71.5
Micronesia; Federated States of,Oceania,68.6
Moldova,Europe,64.5
Monaco,Europe,78.8
Mongolia,Asia,67.3
Montserrat,North America,78
Morocco,Africa,69.1
Mozambique,Africa,37.5
Myanmar,Asia,54.9
Namibia,Africa,42.5
Nauru,Oceania,60.8
Nepal,Asia,57.8
Netherlands,Europe,78.3
Netherlands Antilles,North America,74.7
New Caledonia,Oceania,72.8
New Zealand,Oceania,77.8
Nicaragua,North America,68.7
Niger,Africa,41.3
Nigeria,Africa,51.6
North Korea,Asia,70.7
Northern Mariana Islands,Oceania,75.5
Norway,Europe,78.7
Oman,Asia,71.8
Pakistan,Asia,61.1
Palau,Oceania,68.6
Palestine,Asia,71.4
Panama,North America,75.5
Papua New Guinea,Oceania,63.1
Paraguay,South America,73.7
Peru,South America,70
Philippines,Asia,67.5
Poland,Europe,73.2
Portugal,Europe,75.8
Puerto Rico,North America,75.6
Qatar,Asia,72.4
Reunion,Africa,72.7
Romania,Europe,69.9
Russian Federation,Europe,67.2
Rwanda,Africa,39.3
Saint Helena,Africa,76.8
Saint Kitts and Nevis,North America,70.7
Saint Lucia,North America,72.3
Saint Pierre and Miquelon,North America,77.6
Saint Vincent and the Grenadines,North America,72.3
Samoa,Oceania,69.2
San Marino,Europe,81.1
Sao Tome and Principe,Africa,65.3
Saudi Arabia,Asia,67.8
Senegal,Africa,62.2
Seychelles,Africa,70.4
Sierra Leone,Africa,45.3
Singapore,Asia,80.1
Slovakia,Europe,73.7
Slovenia,Europe,74.9
Solomon Islands,Oceania,71.3
Somalia,Africa,46.2
South Africa,Africa,51.1
South Korea,Asia,74.4
Spain,Europe,78.8
Sri Lanka,Asia,71.8
Sudan,Africa,56.6
Suriname,South America,71.4
Swaziland,Africa,40.4
Sweden,Europe,79.6
Switzerland,Europe,79.6
Syria,Asia,68.5
Taiwan,Asia,76.4
Tajikistan,Asia,64.1
Tanzania,Africa,52.3
Thailand,Asia,68.6
Togo,Africa,54.7
Tonga,Oceania,67.9
Trinidad and Tobago,North America,68
Tunisia,Africa,73.7
Turkey,Asia,71
Turkmenistan,Asia,60.9
Turks and Caicos Islands,North America,73.3
Tuvalu,Oceania,66.3
Uganda,Africa,42.9
Ukraine,Europe,66
United Arab Emirates,Asia,74.1
United Kingdom,Europe,77.7
United States,North America,77.1
Uruguay,South America,75.2
Uzbekistan,Asia,63.7
Vanuatu,Oceania,60.6
Venezuela,South America,73.1
Vietnam,Asia,69.3
Virgin Islands; British,North America,75.4
Virgin Islands; U.S.,North America,78.1
Western Sahara,Africa,49.8
Yemen,Asia,59.8
Yugoslavia,Europe,72.4
Zambia,Africa,37.2
Zimbabwe,Africa,37.8
